EmployeeID,Age,Gender,Department,Tenure,Salary,Satisfaction,WorkLifeBalance,Overtime,Performance,ManagerRating,LastHikePct,PromotionGap,Distance,Education,HireSource,EmploymentType,Sentiment,Attrition
1,47,Male,Marketing,94,22.4,9.0,4,0,3,2.4,13.5,2,22,3,LinkedIn,Full-Time,Positive,0
2,55,Female,Sales,105,23.5,2.2,4,0,3,4.6,4.6,3,11,2,Agency,Contract,Negative,1
3,49,Male,Operations,45,13.4,8.6,1,0,3,3.0,13.4,4,11,4,Job Board,Part-Time,Positive,1
4,28,Male,Marketing,39,19.9,3.3,4,0,4,4.9,11.2,6,14,1,Campus,Full-Time,Negative,1
5,51,Male,Engineering,111,30.5,7.4,1,0,1,2.9,17.4,5,13,4,Campus,Full-Time,Positive,0
6,25,Female,Operations,69,22.2,8.3,4,1,2,2.2,19.1,7,28,4,Agency,Full-Time,Positive,1
7,43,Male,Marketing,36,16.1,5.3,4,0,2,3.6,6.8,5,26,2,Job Board,Full-Time,Neutral,1
8,39,Female,Marketing,34,22.0,2.7,2,1,3,2.7,4.5,6,26,1,LinkedIn,Full-Time,Negative,1
9,41,Male,Engineering,105,32.0,8.6,1,0,2,4.3,10.4,4,18,4,Campus,Full-Time,Positive,0
10,40,Female,Sales,7,19.1,4.3,2,0,4,4.0,13.1,3,6,2,Referral,Intern,Negative,0
11,23,Male,Sales,8,16.5,3.9,2,1,2,4.1,10.2,7,5,5,LinkedIn,Intern,Negative,1
12,40,Male,Operations,88,24.1,5.6,3,0,4,2.6,14.9,3,8,4,Referral,Full-Time,Positive,0
13,55,Female,Finance,1,17.1,4.9,1,0,4,4.1,12.6,4,19,5,LinkedIn,Full-Time,Neutral,0
14,37,Female,Operations,21,18.1,7.1,1,0,1,2.9,20.8,2,11,3,Referral,Full-Time,Positive,0
15,31,Male,Sales,118,23.9,2.2,2,1,4,5.0,10.8,3,20,5,Job Board,Full-Time,Negative,1
16,57,Male,Engineering,51,22.8,4.9,4,1,4,4.2,4.6,2,26,1,Referral,Intern,Neutral,1
17,25,Male,HR,87,18.7,9.0,2,0,1,3.8,8.7,2,10,2,LinkedIn,Full-Time,Positive,0
18,39,Male,Engineering,58,26.7,1.3,2,0,2,4.6,14.5,6,27,1,LinkedIn,Full-Time,Negative,0
19,40,Male,Operations,11,14.2,5.1,1,0,4,3.8,7.9,6,15,4,Campus,Full-Time,Neutral,1
20,39,Female,Finance,22,22.5,6.9,2,0,4,3.7,8.1,5,24,3,Referral,Full-Time,Neutral,0
21,55,Male,Marketing,91,20.7,9.0,2,0,2,2.7,9.5,0,2,2,Referral,Intern,Positive,0
22,37,Female,Sales,12,12.7,6.3,2,0,3,4.0,17.2,1,8,2,Job Board,Full-Time,Positive,1
23,57,Male,Operations,71,23.4,8.4,2,1,1,3.1,20.9,1,27,4,Campus,Full-Time,Positive,1
24,24,Male,Operations,42,20.2,3.0,2,0,3,2.1,9.7,5,26,1,Referral,Full-Time,Negative,0
25,48,Female,Marketing,45,18.5,4.2,3,1,3,4.4,6.7,7,17,3,Job Board,Full-Time,Negative,1
26,43,Male,Engineering,114,31.1,9.5,2,0,2,2.2,11.0,3,1,4,LinkedIn,Full-Time,Positive,0
27,30,Female,Sales,73,23.9,9.0,4,1,2,4.0,9.7,2,2,2,Agency,Full-Time,Positive,0
28,30,Male,Engineering,74,28.8,6.0,3,0,4,2.5,21.8,4,13,2,Referral,Full-Time,Positive,0
29,47,Female,Engineering,42,25.7,5.3,3,0,2,3.3,11.8,7,27,2,Job Board,Full-Time,Neutral,0
30,44,Female,Marketing,46,22.9,5.1,3,0,2,4.6,15.9,2,11,3,LinkedIn,Contract,Neutral,0
31,44,Female,Marketing,82,22.1,1.5,4,0,2,2.3,20.4,2,26,2,Job Board,Part-Time,Negative,1
32,23,Male,Operations,5,15.5,9.0,2,0,2,4.0,15.0,4,16,2,Referral,Full-Time,Positive,1
33,43,Male,Sales,29,18.3,8.4,4,0,2,3.8,7.7,7,4,3,Referral,Full-Time,Positive,0
34,57,Male,Sales,72,21.2,5.1,1,0,3,4.6,14.5,5,17,1,Job Board,Intern,Neutral,0
35,22,Male,Sales,75,21.2,3.5,1,0,4,2.5,10.6,4,11,3,Job Board,Full-Time,Neutral,0
36,38,Male,Engineering,11,23.0,4.1,4,1,3,4.4,11.0,5,7,1,LinkedIn,Contract,Neutral,1
37,39,Male,Engineering,94,29.6,2.1,4,1,1,3.4,21.6,0,20,1,Campus,Full-Time,Negative,0
38,54,Male,Sales,65,19.1,7.5,1,0,2,3.3,8.3,6,6,2,LinkedIn,Full-Time,Positive,0
39,32,Male,Engineering,29,25.9,6.0,3,1,3,3.1,11.9,0,27,2,Referral,Full-Time,Neutral,0
40,39,Male,Finance,90,25.2,3.1,3,0,3,3.2,6.0,3,24,1,LinkedIn,Contract,Negative,1
41,47,Male,Sales,118,25.0,6.6,1,0,4,3.6,6.4,2,23,5,LinkedIn,Full-Time,Neutral,0
42,24,Male,Operations,51,18.5,9.8,3,1,2,2.3,14.5,5,3,2,Campus,Full-Time,Positive,1
43,50,Female,Marketing,34,20.4,2.1,3,0,2,3.3,17.3,1,28,5,LinkedIn,Intern,Negative,1
44,51,Male,Sales,36,14.6,5.1,3,0,3,4.0,15.1,1,15,5,Agency,Contract,Negative,0
45,47,Male,Operations,71,22.5,5.4,3,0,1,3.5,9.3,7,22,5,LinkedIn,Full-Time,Neutral,1
46,45,Male,Operations,6,14.1,2.5,4,0,3,2.5,4.1,3,6,5,Job Board,Full-Time,Negative,1
47,48,Female,Sales,58,23.1,5.8,1,0,4,3.1,11.9,5,23,1,LinkedIn,Full-Time,Negative,0
48,50,Male,Engineering,3,21.3,6.5,3,0,3,3.3,12.6,4,10,2,Job Board,Full-Time,Neutral,1
49,54,Male,Marketing,5,17.3,2.4,2,0,2,4.0,17.6,4,21,4,Campus,Full-Time,Negative,0
50,37,Female,Engineering,52,30.0,2.4,4,0,4,4.7,15.2,5,9,3,Referral,Full-Time,Negative,0
51,38,Male,Engineering,89,28.6,8.7,2,0,3,3.7,19.6,5,28,1,Referral,Contract,Positive,0
52,44,Female,Engineering,106,33.0,3.8,4,0,3,4.0,17.9,7,21,3,Job Board,Part-Time,Negative,1
53,28,Female,Marketing,11,18.0,6.7,3,1,4,2.2,10.0,6,14,5,Job Board,Contract,Neutral,1
54,52,Male,Finance,30,23.2,6.6,1,1,1,4.9,15.0,2,14,5,LinkedIn,Full-Time,Neutral,1
55,49,Male,Marketing,51,21.2,8.6,4,0,4,2.9,17.2,1,1,2,Job Board,Full-Time,Positive,0
56,44,Female,Marketing,69,24.2,7.7,1,1,3,3.1,21.2,6,9,2,Job Board,Full-Time,Positive,0
57,32,Female,Sales,118,24.1,8.6,2,0,3,2.7,11.0,2,23,2,Job Board,Full-Time,Positive,0
58,34,Male,HR,82,18.6,6.6,2,0,1,2.3,15.3,2,25,2,LinkedIn,Full-Time,Neutral,0
59,37,Male,Engineering,65,25.9,5.0,3,0,4,4.4,10.5,0,29,2,Referral,Full-Time,Neutral,1
60,45,Male,Engineering,8,22.8,4.5,2,0,1,2.7,17.0,4,3,2,Agency,Full-Time,Neutral,0
61,50,Male,Finance,10,20.4,4.4,3,1,4,2.8,20.3,4,8,3,Referral,Full-Time,Negative,1
62,46,Female,Sales,19,18.9,4.8,3,1,4,2.5,20.5,6,23,1,Referral,Full-Time,Neutral,0
63,55,Male,HR,79,22.9,2.2,1,0,2,4.9,6.0,5,11,2,Direct,Full-Time,Negative,1
64,56,Female,Marketing,40,18.2,4.8,1,0,2,4.3,6.9,5,8,2,LinkedIn,Full-Time,Negative,1
65,47,Female,Finance,29,20.9,4.5,2,0,1,4.8,17.3,4,9,1,Referral,Full-Time,Negative,0
66,35,Female,HR,80,17.5,1.3,1,0,2,4.6,15.0,6,27,5,Job Board,Full-Time,Negative,0
67,43,Male,HR,98,25.9,3.5,4,0,1,4.7,20.2,7,25,4,Job Board,Full-Time,Negative,1
68,37,Female,Sales,53,20.8,7.8,2,1,4,3.4,9.0,6,1,5,Agency,Full-Time,Positive,0
69,44,Female,Engineering,105,31.4,6.2,2,1,3,2.5,19.1,2,25,3,Job Board,Full-Time,Positive,1
70,51,Female,Sales,88,20.4,8.3,3,1,1,3.0,16.0,2,17,1,LinkedIn,Full-Time,Positive,1
71,35,Male,Engineering,86,28.9,5.9,4,0,4,2.9,6.7,0,25,5,Referral,Full-Time,Positive,0
72,40,Male,Sales,104,25.3,8.7,3,0,1,4.2,5.4,7,19,3,LinkedIn,Full-Time,Positive,0
73,23,Male,Operations,22,16.3,8.2,3,0,3,2.1,16.4,5,20,4,Agency,Full-Time,Neutral,0
74,48,Female,Engineering,91,31.4,1.9,4,1,1,2.4,6.0,7,17,2,LinkedIn,Full-Time,Negative,1
75,39,Female,Engineering,114,35.7,9.8,4,0,1,4.0,18.1,6,22,3,Referral,Contract,Positive,0
76,38,Male,Engineering,119,29.6,1.1,1,0,1,2.4,13.6,3,24,3,Referral,Part-Time,Negative,1
77,41,Male,Engineering,69,25.5,6.4,1,0,2,2.1,12.1,1,15,2,LinkedIn,Full-Time,Positive,0
78,29,Male,Finance,90,25.4,8.1,2,1,3,2.3,8.2,0,4,3,LinkedIn,Part-Time,Neutral,0
79,43,Female,HR,106,25.7,4.0,4,1,4,4.1,21.7,6,3,4,Job Board,Full-Time,Negative,1
80,48,Male,Marketing,102,27.2,6.4,4,0,4,2.4,16.7,2,13,1,LinkedIn,Full-Time,Positive,0
81,34,Male,Finance,107,28.3,4.3,3,0,3,2.4,17.8,3,14,1,Agency,Full-Time,Negative,0
82,26,Female,Sales,100,24.1,1.5,3,1,3,2.7,17.6,6,26,5,Campus,Intern,Negative,1
83,35,Female,Operations,46,17.0,1.1,1,0,2,4.3,14.1,3,1,3,LinkedIn,Full-Time,Negative,0
84,29,Male,Engineering,87,30.7,1.9,3,0,2,2.6,20.9,7,26,5,Campus,Full-Time,Negative,0
85,35,Male,Engineering,49,25.2,1.9,1,0,4,2.1,14.1,4,2,4,LinkedIn,Full-Time,Negative,0
86,44,Female,Engineering,96,29.2,6.5,3,0,3,4.7,12.9,6,15,4,LinkedIn,Full-Time,Neutral,0
87,26,Female,Marketing,97,26.0,5.7,1,0,3,4.6,8.2,1,13,5,LinkedIn,Full-Time,Negative,0
88,48,Male,Sales,112,24.6,5.1,1,1,1,2.6,8.4,3,17,4,Job Board,Full-Time,Neutral,1
89,30,Male,Engineering,71,27.2,7.2,4,0,2,2.8,17.0,1,2,2,Job Board,Part-Time,Positive,1
90,54,Male,HR,57,18.6,1.2,4,0,3,2.6,9.4,0,23,3,LinkedIn,Full-Time,Negative,1
91,48,Male,Engineering,20,25.2,3.4,3,0,2,4.2,16.8,7,4,2,Job Board,Full-Time,Negative,0
92,31,Female,Marketing,76,26.4,8.0,3,0,3,2.8,21.1,4,23,2,Job Board,Contract,Positive,0
93,42,Male,Sales,68,22.6,9.2,1,0,4,4.8,11.3,2,17,4,Job Board,Full-Time,Positive,1
94,25,Male,Sales,62,22.6,4.9,3,0,1,4.5,4.8,3,26,1,Referral,Full-Time,Neutral,0
95,25,Female,Sales,81,22.1,1.7,3,0,4,3.8,15.7,1,29,4,Campus,Full-Time,Negative,0
96,56,Female,Finance,102,26.7,8.2,3,0,4,2.0,3.2,0,25,3,Job Board,Full-Time,Positive,0
97,50,Female,Sales,18,18.7,9.0,2,0,2,4.7,18.0,7,14,2,LinkedIn,Full-Time,Positive,1
98,27,Male,Engineering,52,26.5,4.7,2,0,4,4.2,13.0,0,13,1,Campus,Full-Time,Negative,0
99,32,Male,Engineering,86,26.0,3.2,4,0,1,4.4,12.3,3,20,4,LinkedIn,Full-Time,Negative,0
